Feature,Importance
ST_Slope,0.2462253910663028
Oldpeak,0.12646001611693475
ChestPainType,0.12117129159270479
MaxHR,0.10266271755418847
ExerciseAngina,0.088563782481815
Age,0.08136550165345262
Cholesterol,0.07662573853146348
RestingBP,0.06797976692884318
Sex,0.04367963886654494
RestingECG,0.03514428988966789
FastingBS,0.010121865318082152
